Parameters of the vcal vs. pulse height fits
par[3] + par[2] * TMath::TanH(par[0]*x[0] - par[1])
1.999957e-03 5.889894e-01 1.635648e+02 9.520719e+01     Pix  0 78
1.665138e-03 4.972744e-01 1.748226e+02 8.947719e+01     Pix  0 79
2.000000e-03 4.149556e-01 1.770114e+02 9.071734e+01     Pix  1  0
2.000000e-03 4.513140e-01 1.754051e+02 9.190723e+01     Pix  1  1
2.000000e-03 4.624754e-01 1.733125e+02 9.468820e+01     Pix  1  2
2.000000e-03 4.685201e-01 1.738385e+02 9.387301e+01     Pix  1  3
2.000000e-03 4.423160e-01 1.734163e+02 9.386058e+01     Pix  1  4
2.000000e-03 4.278825e-01 1.768684e+02 9.252685e+01     Pix  1  5
2.000000e-03 4.396920e-01 1.758018e+02 9.216241e+01     Pix  1  6
2.000000e-03 4.603174e-01 1.752517e+02 9.229248e+01     Pix  1  7
2.000000e-03 4.486666e-01 1.766917e+02 9.090576e+01     Pix  1  8
2.000000e-03 4.541536e-01 1.761034e+02 9.157466e+01     Pix  1  9
2.000000e-03 4.410119e-01 1.765295e+02 9.082837e+01     Pix  1 10
2.000000e-03 4.362075e-01 1.766865e+02 9.205396e+01     Pix  1 11
2.000000e-03 4.944479e-01 1.740081e+02 9.215394e+01     Pix  1 12
2.000000e-03 4.730833e-01 1.767713e+02 9.079960e+01     Pix  1 13
2.000000e-03 4.790678e-01 1.740930e+02 9.089753e+01     Pix  1 14
2.000000e-03 4.243765e-01 1.756443e+02 9.189878e+01     Pix  1 15
2.000000e-03 3.911595e-01 1.815353e+02 8.711983e+01     Pix  1 16
2.000000e-03 4.140755e-01 1.783688e+02 9.165508e+01     Pix  1 17
2.000000e-03 4.908168e-01 1.734495e+02 9.318972e+01     Pix  1 18
2.000000e-03 3.916595e-01 1.800925e+02 8.973515e+01     Pix  1 19
2.000000e-03 4.576743e-01 1.776919e+02 8.971846e+01     Pix  1 20
2.000000e-03 4.508293e-01 1.761009e+02 9.207670e+01     Pix  1 21
2.000000e-03 4.473805e-01 1.787600e+02 8.858698e+01     Pix  1 22
2.000000e-03 4.887586e-01 1.753389e+02 8.881943e+01     Pix  1 23
2.000000e-03 4.892284e-01 1.754976e+02 9.072189e+01     Pix  1 24
2.000000e-03 4.853921e-01 1.748425e+02 8.919069e+01     Pix  1 25
1.999970e-03 4.907661e-01 1.742917e+02 9.266899e+01     Pix  1 26
2.000000e-03 4.534106e-01 1.741620e+02 9.473479e+01     Pix  1 27
2.000000e-03 4.600300e-01 1.761452e+02 9.151752e+01     Pix  1 28
2.000000e-03 4.494958e-01 1.771765e+02 8.945091e+01     Pix  1 29
2.000000e-03 4.784163e-01 1.763852e+02 8.973154e+01     Pix  1 30
2.000000e-03 4.622652e-01 1.789930e+02 8.614105e+01     Pix  1 31
2.000000e-03 4.805230e-01 1.772163e+02 8.816975e+01     Pix  1 32
2.000000e-03 4.335633e-01 1.781235e+02 9.102919e+01     Pix  1 33
2.000000e-03 4.392982e-01 1.755921e+02 9.204627e+01     Pix  1 34
2.000000e-03 4.170245e-01 1.782863e+02 8.954838e+01     Pix  1 35
2.000000e-03 4.778493e-01 1.741395e+02 9.150764e+01     Pix  1 36
2.000000e-03 4.772391e-01 1.772276e+02 9.079362e+01     Pix  1 37
2.000000e-03 4.948143e-01 1.741025e+02 9.031950e+01     Pix  1 38
2.000000e-03 4.611691e-01 1.743092e+02 9.307061e+01     Pix  1 39
2.000000e-03 4.264934e-01 1.789860e+02 8.908470e+01     Pix  1 40
2.000000e-03 4.351202e-01 1.775389e+02 9.097697e+01     Pix  1 41
