Parameters of the vcal vs. pulse height fits
par[3] + par[2] * TMath::TanH(par[0]*x[0] - par[1])

1.999952e-03 6.569834e-01 1.531720e+02 1.150998e+02     Pix  0  0
2.000000e-03 7.163926e-01 1.475673e+02 1.149660e+02     Pix  0  1
2.000000e-03 6.879535e-01 1.523983e+02 1.125453e+02     Pix  0  2
2.000000e-03 6.940479e-01 1.497128e+02 1.152121e+02     Pix  0  3
2.000000e-03 6.681651e-01 1.517911e+02 1.139157e+02     Pix  0  4
2.000000e-03 7.195750e-01 1.485739e+02 1.140864e+02     Pix  0  5
2.000000e-03 7.278777e-01 1.509941e+02 1.131683e+02     Pix  0  6
1.999942e-03 6.896890e-01 1.539595e+02 1.105984e+02     Pix  0  7
2.000000e-03 6.779517e-01 1.534918e+02 1.109728e+02     Pix  0  8
2.000000e-03 6.498895e-01 1.531775e+02 1.124946e+02     Pix  0  9
2.000000e-03 7.027769e-01 1.496591e+02 1.137604e+02     Pix  0 10
2.000000e-03 6.865533e-01 1.534809e+02 1.100226e+02     Pix  0 11
1.999730e-03 7.317079e-01 1.530060e+02 1.079005e+02     Pix  0 12
2.000000e-03 7.088436e-01 1.563431e+02 1.106132e+02     Pix  0 13
2.000000e-03 7.292920e-01 1.538720e+02 1.105449e+02     Pix  0 14
2.000000e-03 6.840462e-01 1.516357e+02 1.136500e+02     Pix  0 15
2.000000e-03 6.784617e-01 1.522131e+02 1.125741e+02     Pix  0 16
2.000000e-03 6.801435e-01 1.500839e+02 1.142513e+02     Pix  0 17
1.999951e-03 6.543002e-01 1.557782e+02 1.097333e+02     Pix  0 18
2.000000e-03 6.929375e-01 1.529922e+02 1.113913e+02     Pix  0 19
1.999942e-03 7.005777e-01 1.524248e+02 1.119800e+02     Pix  0 20
2.000000e-03 7.025382e-01 1.514370e+02 1.126911e+02     Pix  0 21
2.000000e-03 7.114691e-01 1.525051e+02 1.119105e+02     Pix  0 22
2.000000e-03 6.969580e-01 1.533022e+02 1.109909e+02     Pix  0 23
1.999453e-03 7.271981e-01 1.523616e+02 1.079197e+02     Pix  0 24
1.997056e-03 7.116845e-01 1.549252e+02 1.065736e+02     Pix  0 25
2.000000e-03 7.131727e-01 1.554728e+02 1.071768e+02     Pix  0 26
2.000000e-03 7.399073e-01 1.489342e+02 1.141725e+02     Pix  0 27
1.999945e-03 6.902021e-01 1.531145e+02 1.114388e+02     Pix  0 28
2.000000e-03 6.980402e-01 1.526153e+02 1.119821e+02     Pix  0 29
2.000000e-03 6.332505e-01 1.602591e+02 1.080616e+02     Pix  0 30
2.000000e-03 6.862025e-01 1.569867e+02 1.068888e+02     Pix  0 31
1.999448e-03 7.071155e-01 1.554021e+02 1.072497e+02     Pix  0 32
2.000000e-03 6.354219e-01 1.551366e+02 1.135023e+02     Pix  0 33
2.000000e-03 6.616292e-01 1.536111e+02 1.139864e+02     Pix  0 34
2.000000e-03 7.128489e-01 1.493961e+02 1.137418e+02     Pix  0 35
2.000000e-03 6.809116e-01 1.546661e+02 1.110255e+02     Pix  0 36
2.000000e-03 6.630977e-01 1.559661e+02 1.093555e+02     Pix  0 37
1.999945e-03 7.055369e-01 1.533175e+02 1.126916e+02     Pix  0 38
2.000000e-03 7.486756e-01 1.509780e+02 1.138306e+02     Pix  0 39
2.000000e-03 6.383331e-01 1.573492e+02 1.093207e+02     Pix  0 40
2.000000e-03 7.188196e-01 1.527791e+02 1.099249e+02     Pix  0 41
1.999819e-03 7.305033e-01 1.551935e+02 1.084881e+02     Pix  0 42
2.000000e-03 7.164022e-01 1.538921e+02 1.084793e+02     Pix  0 43
1.999544e-03 7.202477e-01 1.552027e+02 1.083521e+02     Pix  0 44
2.000000e-03 6.525052e-01 1.566198e+02 1.104041e+02     Pix  0 45
2.000000e-03 6.852543e-01 1.528543e+02 1.116539e+02     Pix  0 46
2.000000e-03 6.383683e-01 1.571218e+02 1.092322e+02     Pix  0 47
1.991697e-03 7.616942e-01 1.538083e+02 1.082114e+02     Pix  0 48
1.933549e-03 7.278675e-01 1.559829e+02 1.061595e+02     Pix  0 49
2.000000e-03 7.350141e-01 1.557527e+02 1.099329e+02     Pix  0 50
2.000000e-03 6.901160e-01 1.523845e+02 1.146511e+02     Pix  0 51
2.000000e-03 6.611718e-01 1.544928e+02 1.114805e+02     Pix  0 52
2.000000e-03 6.806739e-01 1.509429e+02 1.146056e+02     Pix  0 53
2.000000e-03 6.822900e-01 1.542412e+02 1.102090e+02     Pix  0 54
2.000000e-03 7.357013e-01 1.518444e+02 1.102970e+02     Pix  0 55
2.000000e-03 6.991831e-01 1.540962e+02 1.116422e+02     Pix  0 56
2.000000e-03 6.850003e-01 1.544094e+02 1.092732e+02     Pix  0 57
2.000000e-03 6.997326e-01 1.549322e+02 1.081855e+02     Pix  0 58
2.000000e-03 7.429313e-01 1.508747e+02 1.116777e+02     Pix  0 59
1.920128e-03 7.005157e-01 1.567324e+02 1.057904e+02     Pix  0 60
1.999910e-03 7.504914e-01 1.526098e+02 1.083178e+02     Pix  0 61
2.000000e-03 7.093213e-01 1.578484e+02 1.057798e+02     Pix  0 62
2.000000e-03 7.393679e-01 1.494701e+02 1.124562e+02     Pix  0 63
2.000000e-03 7.521037e-01 1.492088e+02 1.135274e+02     Pix  0 64
2.000000e-03 7.282830e-01 1.516914e+02 1.113874e+02     Pix  0 65
1.999999e-03 7.695568e-01 1.516190e+02 1.087595e+02     Pix  0 66
1.995145e-03 7.632433e-01 1.519170e+02 1.092392e+02     Pix  0 67
1.999962e-03 7.462966e-01 1.519904e+02 1.075700e+02     Pix  0 68
2.000000e-03 6.751843e-01 1.517726e+02 1.111169e+02     Pix  0 69
2.000000e-03 7.117153e-01 1.488779e+02 1.141819e+02     Pix  0 70
2.000000e-03 7.106190e-01 1.492690e+02 1.134741e+02     Pix  0 71
2.000000e-03 7.547306e-01 1.498564e+02 1.135725e+02     Pix  0 72
1.856569e-03 7.096936e-01 1.583664e+02 1.049502e+02     Pix  0 73
1.999703e-03 7.857225e-01 1.479929e+02 1.112966e+02     Pix  0 74
2.000000e-03 7.229243e-01 1.507078e+02 1.115187e+02     Pix  0 75
0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00     Pix  0 76
1.996728e-03 7.378521e-01 1.498306e+02 1.115217e+02     Pix  0 77
1.979060e-03 7.270725e-01 1.522991e+02 1.089196e+02     Pix  0 78
1.615392e-03 6.705198e-01 1.638400e+02 1.047330e+02     Pix  0 79
2.000000e-03 6.184090e-01 1.587579e+02 1.094107e+02     Pix  1  0
2.000000e-03 6.728451e-01 1.555381e+02 1.122004e+02     Pix  1  1
2.000000e-03 6.625987e-01 1.562014e+02 1.106436e+02     Pix  1  2
1.999959e-03 6.075252e-01 1.593683e+02 1.103068e+02     Pix  1  3
2.000000e-03 6.115067e-01 1.593437e+02 1.098332e+02     Pix  1  4
2.000000e-03 6.359949e-01 1.574921e+02 1.109456e+02     Pix  1  5
2.000000e-03 6.299558e-01 1.607273e+02 1.103405e+02     Pix  1  6
2.000000e-03 7.124696e-01 1.557233e+02 1.126603e+02     Pix  1  7
2.000000e-03 6.777522e-01 1.565267e+02 1.105380e+02     Pix  1  8
2.000000e-03 6.770605e-01 1.590805e+02 1.111228e+02     Pix  1  9
2.000000e-03 6.791833e-01 1.583096e+02 1.112762e+02     Pix  1 10
2.000000e-03 6.439217e-01 1.598426e+02 1.091194e+02     Pix  1 11
1.999943e-03 6.700168e-01 1.607130e+02 1.077861e+02     Pix  1 12
2.000000e-03 7.032698e-01 1.607893e+02 1.082559e+02     Pix  1 13
2.000000e-03 6.838980e-01 1.608978e+02 1.065113e+02     Pix  1 14
2.000000e-03 6.171904e-01 1.604870e+02 1.105880e+02     Pix  1 15
2.000000e-03 6.568458e-01 1.566373e+02 1.128363e+02     Pix  1 16
2.000000e-03 6.477852e-01 1.578316e+02 1.113893e+02     Pix  1 17
2.000000e-03 6.204079e-01 1.630150e+02 1.067898e+02     Pix  1 18
2.000000e-03 6.791119e-01 1.599540e+02 1.074674e+02     Pix  1 19
2.000000e-03 6.302053e-01 1.620079e+02 1.083599e+02     Pix  1 20
1.999949e-03 6.682079e-01 1.575768e+02 1.099566e+02     Pix  1 21
2.000000e-03 6.936030e-01 1.570452e+02 1.111871e+02     Pix  1 22
2.000000e-03 6.221440e-01 1.634877e+02 1.077376e+02     Pix  1 23
2.000000e-03 6.388846e-01 1.655312e+02 1.051577e+02     Pix  1 24
2.000000e-03 7.418880e-01 1.579792e+02 1.073005e+02     Pix  1 25
1.999898e-03 6.839427e-01 1.627332e+02 1.064179e+02     Pix  1 26
2.000000e-03 6.232026e-01 1.613441e+02 1.074271e+02     Pix  1 27
2.000000e-03 7.128406e-01 1.569045e+02 1.122434e+02     Pix  1 28
2.000000e-03 6.406969e-01 1.602475e+02 1.079351e+02     Pix  1 29
2.000000e-03 6.764389e-01 1.609951e+02 1.064700e+02     Pix  1 30
2.000000e-03 6.570380e-01 1.627655e+02 1.069169e+02     Pix  1 31
2.000000e-03 6.573851e-01 1.638023e+02 1.073914e+02     Pix  1 32
1.999953e-03 6.472655e-01 1.573169e+02 1.094934e+02     Pix  1 33
2.000000e-03 6.157230e-01 1.619896e+02 1.094119e+02     Pix  1 34
2.000000e-03 6.374243e-01 1.592053e+02 1.090181e+02     Pix  1 35
2.000000e-03 6.374571e-01 1.628991e+02 1.076877e+02     Pix  1 36
1.999934e-03 7.124818e-01 1.594838e+02 1.093557e+02     Pix  1 37
2.000000e-03 6.718508e-01 1.602672e+02 1.086999e+02     Pix  1 38
2.000000e-03 6.901536e-01 1.593431e+02 1.099159e+02     Pix  1 39
1.999949e-03 6.501682e-01 1.622774e+02 1.079698e+02     Pix  1 40
2.000000e-03 6.574779e-01 1.600250e+02 1.095481e+02     Pix  1 41
1.999940e-03 6.709499e-01 1.622179e+02 1.066208e+02     Pix  1 42
2.000000e-03 6.976508e-01 1.612040e+02 1.081831e+02     Pix  1 43
1.999954e-03 6.215978e-01 1.665113e+02 1.055504e+02     Pix  1 44
2.000000e-03 6.779620e-01 1.591228e+02 1.079250e+02     Pix  1 45
2.000000e-03 6.429026e-01 1.599522e+02 1.078406e+02     Pix  1 46
1.999952e-03 6.449028e-01 1.611251e+02 1.078366e+02     Pix  1 47
2.000000e-03 6.849515e-01 1.615653e+02 1.049954e+02     Pix  1 48
2.000000e-03 7.243975e-01 1.586395e+02 1.066871e+02     Pix  1 49
2.000000e-03 6.626176e-01 1.623196e+02 1.027395e+02     Pix  1 50
2.000000e-03 6.500265e-01 1.596329e+02 1.096932e+02     Pix  1 51
2.000000e-03 6.184444e-01 1.608802e+02 1.100299e+02     Pix  1 52
1.999959e-03 6.254096e-01 1.595974e+02 1.096271e+02     Pix  1 53
2.000000e-03 6.338364e-01 1.632830e+02 1.076670e+02     Pix  1 54
2.000000e-03 6.631417e-01 1.610750e+02 1.087792e+02     Pix  1 55
2.000000e-03 6.282667e-01 1.639091e+02 1.079253e+02     Pix  1 56
2.000000e-03 6.444720e-01 1.594375e+02 1.105656e+02     Pix  1 57
2.000000e-03 6.993268e-01 1.569723e+02 1.117038e+02     Pix  1 58
2.000000e-03 6.327386e-01 1.630851e+02 1.071853e+02     Pix  1 59
2.000000e-03 6.879730e-01 1.626143e+02 1.056708e+02     Pix  1 60
1.999940e-03 6.759139e-01 1.620628e+02 1.068622e+02     Pix  1 61
2.000000e-03 6.914942e-01 1.608190e+02 1.061276e+02     Pix  1 62
2.000000e-03 6.854660e-01 1.581269e+02 1.108951e+02     Pix  1 63
2.000000e-03 6.733662e-01 1.594022e+02 1.091979e+02     Pix  1 64
2.000000e-03 6.991296e-01 1.561139e+02 1.094329e+02     Pix  1 65
2.000000e-03 6.644773e-01 1.632426e+02 1.035513e+02     Pix  1 66
1.995803e-03 6.956630e-01 1.579889e+02 1.055398e+02     Pix  1 67
2.000000e-03 6.589112e-01 1.649711e+02 1.054769e+02     Pix  1 68
2.000000e-03 6.395010e-01 1.586339e+02 1.099850e+02     Pix  1 69
2.000000e-03 6.675835e-01 1.540904e+02 1.131276e+02     Pix  1 70
2.000000e-03 6.142408e-01 1.636942e+02 1.072894e+02     Pix  1 71
2.000000e-03 7.020615e-01 1.570436e+02 1.103848e+02     Pix  1 72
2.000000e-03 6.807499e-01 1.583242e+02 1.069031e+02     Pix  1 73
2.000000e-03 7.205064e-01 1.544561e+02 1.098868e+02     Pix  1 74
2.000000e-03 7.088453e-01 1.566684e+02 1.080707e+02     Pix  1 75
2.000000e-03 6.818245e-01 1.562601e+02 1.097753e+02     Pix  1 76
2.000000e-03 6.782719e-01 1.584402e+02 1.093295e+02     Pix  1 77
1.979758e-03 7.299184e-01 1.560923e+02 1.063508e+02     Pix  1 78
2.000000e-03 7.698660e-01 1.513753e+02 1.086814e+02     Pix  1 79
2.000000e-03 6.386956e-01 1.590635e+02 1.116761e+02     Pix  2  0
1.999949e-03 6.693845e-01 1.580476e+02 1.100913e+02     Pix  2  1
2.000000e-03 6.444528e-01 1.583689e+02 1.103995e+02     Pix  2  2
1.999952e-03 6.458212e-01 1.563370e+02 1.133304e+02     Pix  2  3
2.000000e-03 6.045692e-01 1.610008e+02 1.104893e+02     Pix  2  4
1.999958e-03 6.273881e-01 1.582632e+02 1.128337e+02     Pix  2  5
2.000000e-03 6.179824e-01 1.598633e+02 1.081837e+02     Pix  2  6
2.000000e-03 6.310441e-01 1.622955e+02 1.085525e+02     Pix  2  7
2.000000e-03 6.405080e-01 1.604203e+02 1.090620e+02     Pix  2  8
2.000000e-03 5.930821e-01 1.631943e+02 1.063892e+02     Pix  2  9
2.000000e-03 5.894392e-01 1.658010e+02 1.059650e+02     Pix  2 10
1.999961e-03 5.974962e-01 1.642391e+02 1.063602e+02     Pix  2 11
2.000000e-03 6.580745e-01 1.626496e+02 1.044179e+02     Pix  2 12
2.000000e-03 6.773241e-01 1.599347e+02 1.072594e+02     Pix  2 13
2.000000e-03 6.503241e-01 1.616594e+02 1.032424e+02     Pix  2 14
2.000000e-03 6.379179e-01 1.596665e+02 1.095019e+02     Pix  2 15
2.000000e-03 6.102910e-01 1.613201e+02 1.094504e+02     Pix  2 16
2.000000e-03 6.194306e-01 1.610906e+02 1.110932e+02     Pix  2 17
2.000000e-03 6.320095e-01 1.624729e+02 1.078030e+02     Pix  2 18
